video_id,timestamp_sec,mafd,threshold_used,persist_frames_used
story_01,2.53333,56.988,13.0,2
story_01,10.2667,16.339,13.0,2
story_01,10.8333,21.713,13.0,2
story_01,11.3667,14.501,13.0,2
story_01,11.9667,65.936,13.0,2
story_01,12.5333,13.282,13.0,2
story_01,16.1333,15.736,13.0,2
story_01,16.2333,13.707,13.0,2
story_01,21.3,46.341,13.0,2
story_01,23.7667,21.595,13.0,2
story_01,23.8667,19.672,13.0,2
story_01,24.3667,32.395,13.0,2
story_01,25.7667,13.565,13.0,2
story_01,25.9667,19.485,13.0,2
story_01,26.7667,14.13,13.0,2
story_01,27.8,13.531,13.0,2
story_01,27.9667,20.558,13.0,2
story_01,30.2,16.477,13.0,2
story_01,30.3333,14.163,13.0,2
story_01,34.5333,20.896,13.0,2
story_01,34.6333,13.45,13.0,2
story_01,41.0,22.456,13.0,2
