# game_01: 895 sampled frame-pairs at ~5.0fps (source 30.0fps, grid=4x4, topk=3, width=240)
signal,p10,p25,p50,p75,p90,p95,p99,max
whole_frame_diff,18.0800,44.9000,89.6000,134.3000,161.1200,170.0600,177.2120,179.0000
tile_max_diff,0.7393,1.5652,3.4475,5.9961,12.6047,20.7902,51.2348,102.5359
tile_topk_mean,2.7109,5.9733,12.4021,24.8526,44.2441,58.8268,132.8485,210.0119
optical_flow_mag,2.1297,4.9173,9.7113,17.2911,32.9446,46.9465,101.9082,182.9288
ssim_change,0.1341,0.2722,0.7261,1.5993,2.8129,3.4536,5.0666,7.9381

# Anchor cross-check (qualitative only -- our own prior MAFD-based cut candidates, NOT human ground truth)
anchor_sec,nearest_sample_sec,whole_frame_diff_value,whole_frame_diff_percentile_rank,tile_max_diff_value,tile_max_diff_percentile_rank,tile_topk_mean_value,tile_topk_mean_percentile_rank,optical_flow_mag_value,optical_flow_mag_percentile_rank,ssim_change_value,ssim_change_percentile_rank
24.83,24.80,24.8000,13.7,1.0272,15.3,3.2087,11.8,2.6643,13.2,0.1332,9.8
25.10,25.20,25.2000,14.0,82.5776,99.4,169.2417,99.0,149.1971,99.2,4.7103,98.3
80.30,80.20,80.2000,44.7,17.2388,92.7,59.1494,95.0,39.4784,92.3,3.0571,92.3
84.83,84.80,84.8000,47.3,2.7758,41.0,11.7444,47.7,9.5924,49.5,0.6790,48.4
123.63,123.60,123.6000,68.9,27.3411,97.4,74.5373,97.4,73.9455,98.1,2.9039,90.7
140.27,140.20,140.2000,78.2,20.1983,94.6,46.6662,91.4,42.3440,93.3,3.1019,92.5
172.93,173.00,173.0000,96.5,76.6326,99.2,187.0072,99.2,153.2137,99.4,3.1272,93.0
173.17,173.20,173.2000,96.6,85.7540,99.6,171.6633,99.1,150.1275,99.3,4.8188,98.5
176.77,176.80,176.8000,98.7,102.5359,99.9,195.7030,99.6,182.9288,99.9,5.2514,99.0
